,bad_words_score,Lengths,Sentiment,score_array,polarity,subjectivity
67,200,21,58.333333333333336,258.3333333333333,0.5,0.8333333333333334
68,0,19,0.0,0.0,0.0,0.0
69,0,14,0.0,0.0,0.0,0.0
70,0,10,70.0,70.0,0.6,1.0
71,0,20,22.0,22.0,0.2,0.2
72,0,17,0.0,0.0,0.0,0.0
75,0,13,90.0,90.0,0.8,1.0
76,0,15,0.0,0.0,0.0,0.0
77,0,12,22.0,22.0,0.2,0.2
78,0,15,33.92857142857142,33.92857142857142,0.2857142857142857,0.5357142857142857
79,0,9,0.0,0.0,0.0,0.0
80,0,10,0.0,0.0,0.0,0.0
81,0,13,-36.0,-36.0,-0.4,0.4
82,0,1,0.0,0.0,0.0,0.0
83,0,17,-19.69047619047619,-19.69047619047619,-0.2714285714285714,0.7452380952380953
84,0,18,0.0,0.0,0.0,0.0
85,0,19,0.0,0.0,0.0,0.0
86,0,17,0.0,0.0,0.0,0.0
87,0,16,0.0,0.0,0.0,0.0
88,0,8,0.0,0.0,0.0,0.0
89,200,8,-34.0,166.0,-0.4,0.6
90,0,25,21.25,21.25,0.1625,0.5
91,0,17,-40.0,-40.0,-0.5,1.0
92,0,5,0.0,0.0,0.0,0.0
93,0,1,0.0,0.0,0.0,0.0
94,200,21,-3.3333333333333335,196.66666666666666,-0.03333333333333333,0.0
95,0,17,55.0,55.0,0.5,0.5
98,0,15,0.0,0.0,0.0,0.0
99,0,7,0.0,0.0,0.0,0.0
100,0,9,0.0,0.0,0.0,0.0
101,0,15,0.0,0.0,0.0,0.0
102,0,17,0.0,0.0,0.0,0.0
103,0,17,0.0,0.0,0.0,0.0
104,0,17,45.0,45.0,0.375,0.75
107,0,15,0.0,0.0,0.0,0.0
108,0,7,0.0,0.0,0.0,0.0
109,0,9,0.0,0.0,0.0,0.0
110,0,15,0.0,0.0,0.0,0.0
111,0,17,0.0,0.0,0.0,0.0
112,0,17,0.0,0.0,0.0,0.0
113,0,17,45.0,45.0,0.375,0.75
116,0,16,0.0,0.0,0.0,0.0
117,0,19,0.0,0.0,0.0,0.0
118,200,14,0.0,200.0,0.0,0.0
119,0,24,-40.0,-40.0,-0.5,1.0
120,0,12,21.5,21.5,0.15,0.65
121,0,9,0.0,0.0,0.0,0.0
122,0,20,-7.37037037037037,-7.37037037037037,-0.11666666666666665,0.4296296296296296
123,0,16,0.0,0.0,0.0,0.0
124,0,19,0.0,0.0,0.0,0.0
125,200,14,0.0,200.0,0.0,0.0
126,0,24,-40.0,-40.0,-0.5,1.0
127,0,12,21.5,21.5,0.15,0.65
128,0,9,0.0,0.0,0.0,0.0
129,0,20,-7.37037037037037,-7.37037037037037,-0.11666666666666665,0.4296296296296296
130,0,21,33.5,33.5,0.3,0.35
131,200,14,0.0,200.0,0.0,0.0
132,0,20,35.0,35.0,0.25,1.0
133,0,14,0.0,0.0,0.0,0.0
134,0,16,5.0,5.0,0.0,0.5
135,0,15,0.0,0.0,0.0,0.0
136,0,31,15.5,15.5,0.1,0.55
137,0,19,0.0,0.0,0.0,0.0
138,0,21,0.0,0.0,0.0,0.0
139,0,16,28.333333333333332,28.333333333333332,0.25,0.3333333333333333
140,0,11,0.0,0.0,0.0,0.0
141,0,26,-5.0,-5.0,-0.09999999999999999,0.5
142,0,16,87.5,87.5,0.8,0.75
143,0,23,-24.375,-24.375,-0.3125,0.6875
144,0,19,0.0,0.0,0.0,0.0
145,0,21,0.0,0.0,0.0,0.0
146,0,16,28.333333333333332,28.333333333333332,0.25,0.3333333333333333
147,0,11,0.0,0.0,0.0,0.0
148,0,26,-5.0,-5.0,-0.09999999999999999,0.5
149,0,16,87.5,87.5,0.8,0.75
150,0,23,-24.375,-24.375,-0.3125,0.6875
151,0,18,0.0,0.0,0.0,0.0
152,0,14,0.0,0.0,0.0,0.0
153,0,11,0.0,0.0,0.0,0.0
154,0,15,60.0,60.0,0.5,1.0
155,200,14,0.0,200.0,0.0,0.0
156,0,21,-22.833333333333336,-22.833333333333336,-0.26666666666666666,0.3833333333333333
157,0,1,0.0,0.0,0.0,0.0
158,0,16,30.5,30.5,0.25,0.55
159,0,15,0.0,0.0,0.0,0.0
160,0,10,0.0,0.0,0.0,0.0
161,0,12,0.0,0.0,0.0,0.0
162,0,7,0.0,0.0,0.0,0.0
163,0,14,0.0,0.0,0.0,0.0
164,0,11,0.0,0.0,0.0,0.0
165,0,16,76.0,76.0,0.7,0.6000000000000001
166,0,16,0.0,0.0,0.0,0.0
167,0,16,16.96428571428571,16.96428571428571,0.14285714285714285,0.26785714285714285
168,0,11,0.0,0.0,0.0,0.0
169,0,16,28.666666666666664,28.666666666666664,0.2222222222222222,0.6444444444444445
170,0,6,0.0,0.0,0.0,0.0
171,0,14,103.0,103.0,1.0,0.3
172,0,18,22.0,22.0,0.2,0.2
173,0,17,0.0,0.0,0.0,0.0
174,0,15,-28.0,-28.0,-0.35,0.7
175,200,14,31.0,231.0,0.3,0.1
176,0,11,0.0,0.0,0.0,0.0
177,0,21,0.0,0.0,0.0,0.0
178,0,22,0.0,0.0,0.0,0.0
179,0,32,61.87499999999999,61.87499999999999,0.5499999999999999,0.6875
180,0,13,-31.66666666666666,-31.66666666666666,-0.3499999999999999,0.3333333333333333
181,0,17,0.0,0.0,0.0,0.0
182,200,34,-43.0,157.0,-0.5,0.7
183,800,14,-19.77777777777777,780.2222222222222,-0.2666666666666666,0.6888888888888888
184,0,12,0.0,0.0,0.0,0.0
185,0,18,0.0,0.0,0.0,0.0
186,0,11,-23.75,-23.75,-0.2916666666666667,0.5416666666666666
187,0,17,0.0,0.0,0.0,0.0
188,0,11,23.0,23.0,0.2,0.3
189,0,15,33.92857142857142,33.92857142857142,0.2857142857142857,0.5357142857142857
190,0,11,0.0,0.0,0.0,0.0
191,0,20,16.642857142857142,16.642857142857142,0.13412698412698412,0.32301587301587303
192,200,15,0.0,200.0,0.0,0.0
193,0,24,0.8333333333333333,0.8333333333333333,0.0,0.08333333333333333
194,0,17,0.0,0.0,0.0,0.0
195,0,12,0.0,0.0,0.0,0.0
196,0,19,76.0,76.0,0.7,0.6000000000000001
197,200,17,32.5,232.5,0.25,0.75
198,200,24,56.0,256.0,0.46666666666666673,0.9333333333333332
199,0,13,0.0,0.0,0.0,0.0
200,0,17,0.0,0.0,0.0,0.0
201,0,10,0.0,0.0,0.0,0.0
202,0,18,0.0,0.0,0.0,0.0
203,0,13,76.0,76.0,0.7,0.6000000000000001
204,0,15,6.0,6.0,0.0,0.6
205,200,23,16.909090909090907,216.9090909090909,0.09659090909090909,0.725
206,0,17,0.0,0.0,0.0,0.0
207,200,24,0.0,200.0,0.0,0.0
208,0,21,0.0,0.0,0.0,0.0
209,0,13,0.0,0.0,0.0,0.0
210,0,16,35.3125,35.3125,0.26875,0.84375
211,0,20,15.5,15.5,0.1,0.55
212,0,20,-3.0357142857142874,-3.0357142857142874,-0.10714285714285715,0.7678571428571428
213,0,17,-1.0,-1.0,-0.05,0.4
214,0,19,20.625,20.625,0.15625,0.5
